name,dba,license_number,license_type,license_status,contact_name,phone,address,city,state,zip,county,region,business_purpose,see_category,operational_status,issued_date,expiration_date
"HOUSING WORKS CANNABIS, LLC","","OCM-CAURD-22-000001","Adult-Use Conditional Retail Dispensary License","Active","Andrew Greene","","750 Broadway","New York","NY","10003","New York","Manhattan","Adult-Use Retail Sales","","Active","2022-12-23T00:00:00.000","2026-12-23T00:00:00.000"
"Smacked LLC","","OCM-CAURD-23-000002","Adult-Use Conditional Retail Dispensary License","Active","Roland Conner","","144 Bleecker St","New York","NY","10012","New York","Manhattan","Adult-Use Retail Sales","","Active","2023-01-19T00:00:00.000","2027-01-19T00:00:00.000"
"The Doe Store LLC","Union Square Travel Agency: A Cannabis Store","OCM-CAURD-23-000003","Adult-Use Conditional Retail Dispensary License","Active","Paul Yau","","835 Broadway","New York","NY","10003","New York","Manhattan","Adult-Use Retail Sales","","Active","2023-02-03T00:00:00.000","2027-02-03T00:00:00.000"
"On Point Cannabis, Inc.","Just Breathe","OCM-CAURD-23-000004","Adult-Use Conditional Retail Dispensary License","Active","Damien Cornwell","","75 Court St","Binghamton","NY","13901","Broome","Southern Tier","Adult-Use Retail Sales","","Active","2023-02-07T00:00:00.000","2027-02-07T00:00:00.000"
"D-Andrews LLC","Upstate CBD","OCM-CAURD-23-000005","Adult-Use Conditional Retail Dispensary License","Active","Donald Andrews","","1613 Union Street","Schenectady","NY","12309","Schenectady","Capital District","Adult-Use Retail Sales","","Active","2023-03-01T00:00:00.000","2027-03-01T00:00:00.000"
"WilliamJane Corporation","WilliamJane","OCM-CAURD-23-000006","Adult-Use Conditional Retail Dispensary License","Active","william durham","","119 E State St","Ithaca","NY","14850","Tompkins","Southern Tier","Adult-Use Retail Sales","","Active","2023-03-10T00:00:00.000","2027-03-10T00:00:00.000"
"Good Grades LLC","","OCM-CAURD-23-000007","Adult-Use Conditional Retail Dispensary License","Active","Michael James","","16203 Jamaica Ave","Jamaica","NY","11432","Queens","Queens","Adult-Use Retail Sales","","Active","2023-03-23T00:00:00.000","2027-03-23T00:00:00.000"
"Florisun LLC","Dazed","OCM-CAURD-23-000008","Adult-Use Conditional Retail Dispensary License","Active","Keshawn Warner","","33 Union Sq W","New York","NY","10003","New York","Manhattan","Adult-Use Retail Sales","","Active","2023-04-13T00:00:00.000","2027-04-13T00:00:00.000"
"GOTHAM CAURD LLC","Gotham Bowery","OCM-CAURD-23-000009","Adult-Use Conditional Retail Dispensary License","Active","Joanne wilson","","3 E 3rd St","New York","NY","10003","New York","Manhattan","Adult-Use Retail Sales","","Active","2023-05-04T00:00:00.000","2027-05-04T00:00:00.000"
"FLYNNSTONED CORPORATION","FLYNNSTONED","OCM-CAURD-23-000010","Adult-Use Conditional Retail Dispensary License","Active","Michael Flynn","","219 Walton St","Syracuse","NY","13202","Onondaga","Central NY","Adult-Use Retail Sales","","Active","2023-06-02T00:00:00.000","2027-06-02T00:00:00.000"
