name,dba,license_number,license_type,license_status,contact_name,phone,address,city,state,zip,county,region,business_purpose,see_category,operational_status,issued_date,expiration_date
"CSH Wyoming LLC","","OCM-DIST-24-000001","Adult-Use Distributor License","Active","Morgan Hopkins","","","","NY","","Wyoming","Finger Lakes","Adult-Use Distribution","","Active","2024-02-22T00:00:00.000","2028-02-22T00:00:00.000"
"Nanticoke Hemp Inc","","OCM-DIST-24-000002","Adult-Use Distributor License","Active","Peter Shafer","","","","NY","","Broome","Southern Tier","Adult-Use Distribution","","Active","2024-03-01T00:00:00.000","2028-03-01T00:00:00.000"
"Nanticoke Hemp Inc","","OCM-DIST-24-000002","Adult-Use Distributor License","Active","Peter Shafer","","","","NY","","Broome","Southern Tier","Adult-Use Distribution","","Active","2024-03-01T00:00:00.000","2028-03-01T00:00:00.000"
"Nanticoke Hemp Inc","Nanticoke Gardens","OCM-DIST-24-000002","Adult-Use Distributor License","Active","Peter Shafer","","","","NY","","Broome","Southern Tier","Adult-Use Distribution","","Active","2024-03-01T00:00:00.000","2028-03-01T00:00:00.000"
"Torrwood Farm, LLC","","OCM-DIST-24-000003","Adult-Use Distributor License","Active","Lucas Kerr","","","","NY","","Sullivan","Mid-Hudson","Adult-Use Distribution","Service-Disabled Veteran-Owned Business","Active","2024-03-04T00:00:00.000","2028-03-04T00:00:00.000"
"Bone Creek Farm LLC","","OCM-DIST-24-000004","Adult-Use Distributor License","Active","Joseph Gelormino","","","","NY","","Broome","Southern Tier","Adult-Use Distribution","","Active","2024-03-07T00:00:00.000","2028-03-07T00:00:00.000"
"Harney Brothers LLC","Dave's","OCM-DIST-24-000005","Adult-Use Distributor License","Active","Michael Harney","","","","NY","","Dutchess","Mid-Hudson","Adult-Use Distribution","","Active","2024-03-26T00:00:00.000","2028-03-26T00:00:00.000"
"California Fragrance Company Inc","Aromafloria","OCM-DIST-24-000006","Adult-Use Distributor License","Active","Elizabeth Flaherty","","","","NY","","Suffolk","Long Island","Adult-Use Distribution","Women-Owned Business","Active","2024-04-04T00:00:00.000","2028-04-04T00:00:00.000"
"Phil Spinelli Farrier Service LLC","Nightshade Farm","OCM-DIST-24-000007","Adult-Use Distributor License","Active","Philip Spinelli","","","","NY","","Albany","Capital District","Adult-Use Distribution","","Active","2024-04-17T00:00:00.000","2028-04-17T00:00:00.000"
"Moby & Zeke, LLC","","OCM-DIST-24-000008","Adult-Use Distributor License","Active","Nicholas pistolesi","","","","NY","","Tompkins","Southern Tier","Adult-Use Distribution","Women-Owned Business","Active","2024-04-22T00:00:00.000","2026-04-22T00:00:00.000"
"ALLSTATE DISTRO LLC","","OCM-DIST-24-000009","Adult-Use Distributor License","Active","Michael Geraci","","","","NY","","Queens","Queens","Adult-Use Distribution","","Active","2024-04-23T00:00:00.000","2026-04-23T00:00:00.000"
"ALLSTATE DISTRO LLC","","OCM-DIST-24-000009","Adult-Use Distributor License","Active","Michael Geraci","","","","NY","","Wayne","Finger Lakes","Adult-Use Distribution","","Non-Operational","2024-04-23T00:00:00.000","2026-04-23T00:00:00.000"
"ALLSTATE DISTRO LLC","","OCM-DIST-24-000009","Adult-Use Distributor License","Active","Michael Geraci","","","","NY","","Schenectady","Capital District","Adult-Use Distribution","","Active","2024-04-23T00:00:00.000","2026-04-23T00:00:00.000"
"Great Lakes Canopy, LLC","","OCM-DIST-24-000010","Adult-Use Distributor License","Active","Jeramy Bernardoni","","","","NY","","Genesee","Finger Lakes","Adult-Use Distribution","Distressed Farmer","Active","2024-04-29T00:00:00.000","2026-04-29T00:00:00.000"
"Lance De Ratafia","Green Mountain Organics","OCM-DIST-24-000011","Adult-Use Distributor License","Active","Lance De Ratafia","","","","NY","","Columbia","Capital District","Adult-Use Distribution","","Active","2024-04-29T00:00:00.000","2026-04-29T00:00:00.000"
"ROUTE 27 HOPYARD LLC","","OCM-DIST-24-000012","Adult-Use Distributor License","Active","RYAN ANDOOS","","","","NY","","Suffolk","Long Island","Adult-Use Distribution","","Active","2024-05-02T00:00:00.000","2026-05-02T00:00:00.000"
"Rippin' Ridge Farm, LLC","","OCM-DIST-24-000013","Adult-Use Distributor License","Active","Jennifer Basic","","","","NY","","Madison","Central NY","Adult-Use Distribution","Distressed Farmer, Women-Owned Business","Active","2024-05-02T00:00:00.000","2028-05-02T00:00:00.000"
