name,dba,license_number,license_type,license_status,contact_name,phone,address,city,state,zip,county,region,business_purpose,see_category,operational_status,issued_date,expiration_date
"Village Flower LLC","","OCM-MICR-24-000001","Adult-Use Microbusiness License","Active","Jacob Koehler","","","","NY","","Schenectady","Capital District","Adult-Use Cultivation, Adult-Use Processing, Adult-Use Distribution","","Active","2024-02-22T00:00:00.000","2026-02-22T00:00:00.000"
"Village Flower LLC","","OCM-MICR-24-000001","Adult-Use Microbusiness License","Active","Jacob Koehler","","102 - 114 Mohawk Ave.","Scotia","NY","12302","Schenectady","Capital District","Adult-Use Retail Sales","","Non-Operational","2024-02-22T00:00:00.000","2026-02-22T00:00:00.000"
"Sagg Main Farms LLC","","OCM-MICR-24-000002","Adult-Use Microbusiness License","Active","Bryan Fiore","","","","NY","","Suffolk","Long Island","Adult-Use Cultivation","","Active","2024-02-22T00:00:00.000","2026-02-22T00:00:00.000"
"Sagg Main Farms LLC","","OCM-MICR-24-000002","Adult-Use Microbusiness License","Active","Bryan Fiore","","","","NY","","Suffolk","Long Island","Adult-Use Distribution","","Active","2024-02-22T00:00:00.000","2026-02-22T00:00:00.000"
"Loon Lake Cannabis","","OCM-MICR-24-000003","Adult-Use Microbusiness License","Active","John Cottom","","305 Blue Spruce Dr","Loon Lake","NY","12989","Franklin","North Country","Adult-Use Cultivation, Adult-Use Processing, Adult-Use Distribution, Adult-Use Retail Sales","","Non-Operational","2024-02-22T00:00:00.000","2028-02-22T00:00:00.000"
"Terrace Corporation of New York","","OCM-MICR-24-000004","Adult-Use Microbusiness License","Active","Scot Trifilo","","","","NY","","Saratoga","Capital District","Adult-Use Cultivation, Adult-Use Processing, Adult-Use Distribution","","Active","2024-02-22T00:00:00.000","2028-02-22T00:00:00.000"
"Terrace Corporation of New York","","OCM-MICR-24-000004","Adult-Use Microbusiness License","Active","Scot Trifilo","","70 Kaydeross Ave West","Saratoga Springs","NY","12866","Saratoga","Capital District","Adult-Use Cultivation, Adult-Use Processing, Adult-Use Distribution, Adult-Use Retail Sales","","Non-Operational","2024-02-22T00:00:00.000","2028-02-22T00:00:00.000"
"Terrace Corporation of New York","","OCM-MICR-24-000004","Adult-Use Microbusiness License","Amendment Under Review","","","70 Kaydeross Ave W","Saratoga Springs","NY","12866","","","Adult-Use Retail Sales","","","",""
"Untergang Inc","","OCM-MICR-24-000005","Adult-Use Microbusiness License","Active","Malik Houari","","","","NY","","Queens","Queens","Adult-Use Cultivation, Adult-Use Processing, Adult-Use Distribution","","Active","2024-02-28T00:00:00.000","2028-02-28T00:00:00.000"
"Lit by the Lake, LLC","","OCM-MICR-24-000006","Adult-Use Microbusiness License","Active","Arlana Cranston","","","","NY","","Niagara","Western NY","Adult-Use Cultivation, Adult-Use Processing, Adult-Use Distribution","Women-Owned Business","Active","2024-02-28T00:00:00.000","2028-02-28T00:00:00.000"
"Mark Turk Farms LLC","","OCM-MICR-24-000007","Adult-Use Microbusiness License","Active","Mark Turkheimer","","","","NY","","Washington","Capital District","Adult-Use Cultivation, Adult-Use Processing, Adult-Use Distribution","Individuals from a community disproportionately impacted by the enforcement of cannabis prohibition, Extra Priority, Service-Disabled Veteran-Owned Business","Active","2024-02-28T00:00:00.000","2028-02-28T00:00:00.000"
"Swamp Fog Farms Corp.","","OCM-MICR-24-000008","Adult-Use Microbusiness License","Active","Brian Searle","","","","NY","","Oswego","Central NY","Adult-Use Cultivation, Adult-Use Processing, Adult-Use Distribution","","Active","2024-02-28T00:00:00.000","2028-02-28T00:00:00.000"
"Creative Balance Group LLC","","OCM-MICR-24-000009","Adult-Use Microbusiness License","Active","Joel Joseph","","","","NY","","Bronx","Bronx","Adult-Use Cultivation, Adult-Use Processing, Adult-Use Distribution","Individuals from a community disproportionately impacted by the enforcement of cannabis prohibition, Extra Priority, Minority-Owned Business","Active","2024-03-03T00:00:00.000","2028-03-03T00:00:00.000"
"The Herbal Confectionery LLC","","OCM-MICR-24-000010","Adult-Use Microbusiness License","Active","Lisa Barone","","","","NY","","Orange","Mid-Hudson","Adult-Use Cultivation, Adult-Use Processing, Adult-Use Distribution","Women-Owned Business","Active","2024-03-03T00:00:00.000","2026-03-03T00:00:00.000"
"LeadFarmer Inc.","","OCM-MICR-24-000011","Adult-Use Microbusiness License","Active","Philip Percesepe","","241 Old Gifford Road","Bainbridge","NY","13733","Chenango","Southern Tier","Adult-Use Cultivation, Adult-Use Processing, Adult-Use Distribution, Adult-Use Retail Sales","Service-Disabled Veteran-Owned Business","Non-Operational","2024-03-03T00:00:00.000","2028-03-03T00:00:00.000"
"Sunwalker Farms, Inc.","","OCM-MICR-24-000012","Adult-Use Microbusiness License","Active","Curteis Boshnack","","","","NY","","Ontario","Finger Lakes","Adult-Use Cultivation, Adult-Use Processing, Adult-Use Distribution","Service-Disabled Veteran-Owned Business","Active","2024-03-03T00:00:00.000","2028-03-03T00:00:00.000"
"Sunwalker Farms, Inc.","","OCM-MICR-24-000012","Adult-Use Microbusiness License","Active","Curteis Boshnack","","39 Eastern Blvd Unit 101","Canandaigua","NY","14424","Ontario","Finger Lakes","Adult-Use Retail Sales","Service-Disabled Veteran-Owned Business","Active","2024-03-03T00:00:00.000","2028-03-03T00:00:00.000"
"Foggy Hill Farms, LLC","","OCM-MICR-24-000013","Adult-Use Microbusiness License","Active","Kirsten Barnstead","","","","NY","","Genesee","Finger Lakes","Adult-Use Cultivation, Adult-Use Processing, Adult-Use Distribution","Women-Owned Business","Active","2024-03-03T00:00:00.000","2026-03-03T00:00:00.000"
"LivelyHarvestNY LLC","","OCM-MICR-24-000014","Adult-Use Microbusiness License","Active","Olivia Maliki","","","","NY","","Delaware","Southern Tier","Adult-Use Cultivation, Adult-Use Processing, Adult-Use Distribution","Women-Owned Business, Minority-Owned Business","Active","2024-03-03T00:00:00.000","2028-03-03T00:00:00.000"
"LivelyHarvestNY LLC","","OCM-MICR-24-000014","Adult-Use Microbusiness License","Active","Olivia Maliki","","75 Bridge St.","Margaretville","NY","12455","Delaware","Southern Tier","Adult-Use Processing, Adult-Use Retail Sales","Women-Owned Business, Minority-Owned Business","Active","2024-03-03T00:00:00.000","2028-03-03T00:00:00.000"
"Glass House Farms, LLC","","OCM-MICR-24-000015","Adult-Use Microbusiness License","Active","Wayne Bishop","","77 Ridgeland Rd","Rochester","NY","14623","Monroe","Finger Lakes","Adult-Use Cultivation, Adult-Use Processing, Adult-Use Distribution, Adult-Use Retail Sales","","Non-Operational","2024-03-03T00:00:00.000","2028-03-03T00:00:00.000"
"Blue Niagara Farm LLC","","OCM-MICR-24-000016","Adult-Use Microbusiness License","Active","Debra Wrazin","","","","NY","","Niagara","Western NY","Adult-Use Cultivation, Adult-Use Distribution","","Active","2024-03-03T00:00:00.000","2028-03-03T00:00:00.000"
"Blue Niagara Farm LLC","","OCM-MICR-24-000016","Adult-Use Microbusiness License","Active","Debra Wrazin","","","","NY","","Niagara","Western NY","Adult-Use Cultivation, Adult-Use Processing, Adult-Use Distribution","","Active","2024-03-03T00:00:00.000","2028-03-03T00:00:00.000"
"LotusWorks Wellness Inc.","","OCM-MICR-24-000017","Adult-Use Microbusiness License","Active","Aaron Sanders","","","","NY","","Ulster","Mid-Hudson","Adult-Use Cultivation","Minority-Owned Business","Active","2024-03-03T00:00:00.000","2028-03-03T00:00:00.000"
"LotusWorks Wellness Inc.","","OCM-MICR-24-000017","Adult-Use Microbusiness License","Active","Aaron Sanders","","","","NY","","Dutchess","Mid-Hudson","Adult-Use Processing","Minority-Owned Business","Non-Operational","2024-03-03T00:00:00.000","2028-03-03T00:00:00.000"
"LotusWorks Wellness Inc.","","OCM-MICR-24-000017","Adult-Use Microbusiness License","Active","Aaron Sanders","","261 Main St","Beacon","NY","12508","Dutchess","Mid-Hudson","Adult-Use Processing, Adult-Use Distribution, Adult-Use Retail Sales","Minority-Owned Business","Active","2024-03-03T00:00:00.000","2028-03-03T00:00:00.000"
"My420Help LLC","","OCM-MICR-24-000018","Adult-Use Microbusiness License","Active","Scott Hanesworth","","","","NY","","Erie","Western NY","Adult-Use Cultivation, Adult-Use Processing, Adult-Use Distribution","Minority-Owned Business","Active","2024-03-04T00:00:00.000","2028-03-04T00:00:00.000"
"716Sticky LLC","","OCM-MICR-24-000019","Adult-Use Microbusiness License","Active","David Miller","","","","NY","","Erie","Western NY","Adult-Use Cultivation, Adult-Use Processing, Adult-Use Distribution","Individuals from a community disproportionately impacted by the enforcement of cannabis prohibition, Extra Priority","Non-Operational","2024-03-04T00:00:00.000","2028-03-04T00:00:00.000"
"716Sticky LLC","","OCM-MICR-24-000019","Adult-Use Microbusiness License","Active","David Miller","","356 Hopkins St Ste 420","Buffalo","NY","14220","Erie","Western NY","Adult-Use Cultivation, Adult-Use Processing, Adult-Use Distribution, Adult-Use Retail Sales","Individuals from a community disproportionately impacted by the enforcement of cannabis prohibition, Extra Priority","Non-Operational","2024-03-04T00:00:00.000","2028-03-04T00:00:00.000"
"Highview Farms, Inc.","","OCM-MICR-24-000020","Adult-Use Microbusiness License","Active","Ieshia Galicia","","","","NY","","New York","Manhattan","Adult-Use Cultivation, Adult-Use Processing, Adult-Use Distribution","Women-Owned Business","Non-Operational","2024-03-04T00:00:00.000","2026-03-04T00:00:00.000"
"Highview Farms, Inc.","","OCM-MICR-24-000020","Adult-Use Microbusiness License","Active","Ieshia Galicia","","","","NY","","Albany","Capital District","Adult-Use Cultivation, Adult-Use Processing, Adult-Use Distribution","Women-Owned Business","Active","2024-03-04T00:00:00.000","2026-03-04T00:00:00.000"
"Highview Farms, Inc.","","OCM-MICR-24-000020","Adult-Use Microbusiness License","Active","Ieshia Galicia","","181 Hayground Rd","Bridgehampton","NY","11932","Suffolk","Long Island","Adult-Use Cultivation, Adult-Use Processing, Adult-Use Distribution, Adult-Use Retail Sales","Women-Owned Business","Non-Operational","2024-03-04T00:00:00.000","2026-03-04T00:00:00.000"
"NY Danksters LLC","","OCM-MICR-24-000021","Adult-Use Microbusiness License","Active","Joshua Waterman","","","","NY","","Cayuga","Central NY","Adult-Use Cultivation, Adult-Use Processing, Adult-Use Distribution","","Active","2024-03-05T00:00:00.000","2028-03-05T00:00:00.000"
"Roco Chuckles LLC","","OCM-MICR-24-000022","Adult-Use Microbusiness License","Active","Aniesah Miller","","","","NY","","Onondaga","Central NY","Adult-Use Cultivation, Adult-Use Processing, Adult-Use Distribution","","Active","2024-03-06T00:00:00.000","2028-03-06T00:00:00.000"
"Cannabaceae LLC","","OCM-MICR-24-000023","Adult-Use Microbusiness License","Active","Thomas Ballistrea","","6728 S Portage Rd","Westfield","NY","14787","Chautauqua","Western NY","Adult-Use Cultivation, Adult-Use Processing, Adult-Use Distribution, Adult-Use Retail Sales","","Non-Operational","2024-03-06T00:00:00.000","2028-03-06T00:00:00.000"
"Sticky's Weed Farm LLC","","OCM-MICR-24-000024","Adult-Use Microbusiness License","Active","Healey Mayette","","","","NY","","Essex","North Country","Adult-Use Cultivation, Adult-Use Processing, Adult-Use Distribution","Women-Owned Business","Active","2024-03-14T00:00:00.000","2028-03-14T00:00:00.000"
"Newburgh Kush Factory","","OCM-MICR-24-000025","Adult-Use Microbusiness License","Active","Melzina Canigan-Izzard","","1255 NY 300","Newburgh","NY","12550","Orange","Mid-Hudson","Adult-Use Cultivation, Adult-Use Processing, Adult-Use Distribution, Adult-Use Retail Sales","Minority-Owned Business, Individuals from a community disproportionately impacted by the enforcement of cannabis prohibition, Women-Owned Business","Non-Operational","2024-03-28T00:00:00.000","2028-03-28T00:00:00.000"
"Karabina Consulting","Ok To Grow","OCM-MICR-24-000026","Adult-Use Microbusiness License","Active","Frederick Ruckel","","420 East Conesville Road","Gilboa","NY","12076","Schoharie","Mohawk Valley","Adult-Use Cultivation, Adult-Use Processing, Adult-Use Distribution, Adult-Use Retail Sales","","Non-Operational","2024-03-28T00:00:00.000","2026-03-28T00:00:00.000"
"Green Tongue LLC","","OCM-MICR-24-000027","Adult-Use Microbusiness License","Active","Chris Hinson","","","","NY","","Erie","Western NY","Adult-Use Cultivation","Minority-Owned Business, Individuals from a community disproportionately impacted by the enforcement of cannabis prohibition","Non-Operational","2024-03-28T00:00:00.000","2026-03-28T00:00:00.000"
"Green Tongue LLC","","OCM-MICR-24-000027","Adult-Use Microbusiness License","Active","Chris Hinson","","69 Allen St","Buffalo","NY","14202","Erie","Western NY","Adult-Use Processing, Adult-Use Distribution, Adult-Use Retail Sales","Minority-Owned Business, Individuals from a community disproportionately impacted by the enforcement of cannabis prohibition","Active","2024-03-28T00:00:00.000","2026-03-28T00:00:00.000"
