name,dba,license_number,license_type,license_status,contact_name,phone,address,city,state,zip,county,region,business_purpose,see_category,operational_status,issued_date,expiration_date
"Bone Creek Farm LLC","","OCM-PROC-24-000001","Adult-Use Processor License","Active","Joseph Gelormino","","","","NY","","Broome","Southern Tier","Adult-Use Processing","","Active","2024-02-22T00:00:00.000","2028-02-22T00:00:00.000"
"Nanticoke Hemp Inc","","OCM-PROC-24-000002","Adult-Use Processor License","Active","Peter Shafer","","","","NY","","Broome","Southern Tier","Adult-Use Processing","","Active","2024-02-22T00:00:00.000","2028-02-22T00:00:00.000"
"Nanticoke Hemp Inc","","OCM-PROC-24-000002","Adult-Use Processor License","Active","Peter Shafer","","","","NY","","Broome","Southern Tier","Adult-Use Processing","","Active","2024-02-22T00:00:00.000","2028-02-22T00:00:00.000"
"Nanticoke Hemp Inc","Nanticoke Gardens","OCM-PROC-24-000002","Adult-Use Processor License","Active","Peter Shafer","","","","NY","","Broome","Southern Tier","Adult-Use Processing","","Active","2024-02-22T00:00:00.000","2028-02-22T00:00:00.000"
"Rippin' Ridge Farm, LLC","","OCM-PROC-24-000003","Adult-Use Processor License","Active","Jennifer Basic","","","","NY","","Madison","Central NY","Adult-Use Processing","Distressed Farmer, Women-Owned Business","Active","2024-02-22T00:00:00.000","2028-02-22T00:00:00.000"
"Honey Dog Heaven LLC","","OCM-PROC-24-000004","Adult-Use Processor License","Active","james chambers","","","","NY","","Columbia","Capital District","Adult-Use Processing","","Active","2024-02-22T00:00:00.000","2028-02-22T00:00:00.000"
"PECONIC GROWERS LLC","","OCM-PROC-24-000005","Adult-Use Processor License","Active","Dillon White","","","","NY","","Suffolk","Long Island","Adult-Use Processing","","Active","2024-02-22T00:00:00.000","2028-02-22T00:00:00.000"
"Harney Brothers LLC","Dave's","OCM-PROC-24-000006","Adult-Use Processor License","Active","Michael Harney","","","","NY","","Dutchess","Mid-Hudson","Adult-Use Processing","","Active","2024-02-22T00:00:00.000","2028-02-22T00:00:00.000"
"Harney Brothers LLC","Harney Brothers","OCM-PROC-24-000006","Adult-Use Processor License","Active","Michael Harney","","","","NY","","Dutchess","Mid-Hudson","Adult-Use Processing","","Active","2024-02-22T00:00:00.000","2028-02-22T00:00:00.000"
"Harney Brothers LLC","Hudson","OCM-PROC-24-000006","Adult-Use Processor License","Active","Michael Harney","","","","NY","","Columbia","Capital District","Adult-Use Processing","","Active","2024-02-22T00:00:00.000","2028-02-22T00:00:00.000"
