name,dba,license_number,license_type,license_status,contact_name,phone,address,city,state,zip,county,region,business_purpose,see_category,operational_status,issued_date,expiration_date
"TOKESY LLC","","OCM-PT3B-25-000001","Adult-Use Processor Type Three-Branding","Active","Adil Ahmed","","","","NY","","","","","","Active","2025-03-25T00:00:00.000","2027-03-25T00:00:00.000"
"Rosie's Cannabis LLC","","OCM-PT3B-25-000002","Adult-Use Processor Type Three-Branding","Active","Emma Rose","","","","NY","","","","","Women-Owned Business","Active","2025-03-25T00:00:00.000","2027-03-25T00:00:00.000"
"Durban Dames of New York LLC","","OCM-PT3B-25-000003","Adult-Use Processor Type Three-Branding","Active","Lakisha Grant","","","","NY","","","","","Minority-Owned Business, Women-Owned Business","Active","2025-03-25T00:00:00.000","2027-03-25T00:00:00.000"
"In The Klouds NY LLC","","OCM-PT3B-25-000004","Adult-Use Processor Type Three-Branding","Active","Klaudia Cichon","","","","NY","","","","","Women-Owned Business","Active","2025-03-25T00:00:00.000","2027-03-25T00:00:00.000"
"David Chun","","OCM-PT3B-25-000005","Adult-Use Processor Type Three-Branding","Active","David Chun","","","","NY","","","","","Minority-Owned Business, Service-Disabled Veteran-Owned Business","Active","2025-03-25T00:00:00.000","2027-03-25T00:00:00.000"
"Robert D Tollin","","OCM-PT3B-25-000006","Adult-Use Processor Type Three-Branding","Active","Robert Tollin","","","","NY","","","","","","Active","2025-03-25T00:00:00.000","2027-03-25T00:00:00.000"
"Flying Leaf LLC","","OCM-PT3B-25-000007","Adult-Use Processor Type Three-Branding","Active","Isaac Johnson","","","","NY","","","","","Minority-Owned Business","Active","2025-03-25T00:00:00.000","2027-03-25T00:00:00.000"
"JOE ROTA'S LLC","","OCM-PT3B-25-000008","Adult-Use Processor Type Three-Branding","Active","Mitchell Helfman","","","","NY","","","","","","Active","2025-03-25T00:00:00.000","2027-03-25T00:00:00.000"
"IMDIAW LLC","","OCM-PT3B-25-000009","Adult-Use Processor Type Three-Branding","Active","Lawrence Yam","","","","NY","","","","","Minority-Owned Business","Active","2025-03-25T00:00:00.000","2027-03-25T00:00:00.000"
"BUDDFELLAS, INC","","OCM-PT3B-25-000010","Adult-Use Processor Type Three-Branding","Active","Julio Lopez","","","","NY","","","","","","Active","2025-03-25T00:00:00.000","2027-03-25T00:00:00.000"
"HI SUN MANAGEMENT LLC","","OCM-PT3B-25-000011","Adult-Use Processor Type Three-Branding","Active","Yan Zhang","","","","NY","","","","","Minority-Owned Business, Women-Owned Business","Active","2025-03-25T00:00:00.000","2027-03-25T00:00:00.000"
"Asteria Cannabis Farm LLC","","OCM-PT3B-25-000012","Adult-Use Processor Type Three-Branding","Active","Titus Vaus","","","","NY","","","","","Women-Owned Business","Active","2025-03-25T00:00:00.000","2027-03-25T00:00:00.000"
"Mrs. C Botanicals LLC","","OCM-PT3B-25-000013","Adult-Use Processor Type Three-Branding","Active","Vanessa Cuccurullo","","","","NY","","","","","Women-Owned Business","Active","2025-03-25T00:00:00.000","2027-03-25T00:00:00.000"
"The House of Hash, LLC","","OCM-PT3B-25-000014","Adult-Use Processor Type Three-Branding","Active","Jonathan Rahimzada","","","","NY","","","","","","Active","2025-03-25T00:00:00.000","2027-03-25T00:00:00.000"
"Linda Shen","","OCM-PT3B-25-000015","Adult-Use Processor Type Three-Branding","Active","Linda Shen","","","","NY","","","","","Minority-Owned Business, Women-Owned Business","Active","2025-03-25T00:00:00.000","2027-03-25T00:00:00.000"
"CANNA SUDZ LLC","","OCM-PT3B-25-000016","Adult-Use Processor Type Three-Branding","Active","Jourdan Beauregard","","","","NY","","","","","","Active","2025-03-25T00:00:00.000","2027-03-25T00:00:00.000"
"Banzzy870 LLC","","OCM-PT3B-25-000017","Adult-Use Processor Type Three-Branding","Active","corey wright","","","","NY","","","","","","Active","2025-03-25T00:00:00.000","2027-03-25T00:00:00.000"
"Sky Blue Stables, LLC","","OCM-PT3B-25-000018","Adult-Use Processor Type Three-Branding","Active","Laura Labriola","","","","NY","","","","","Women-Owned Business, Distressed Farmer","Active","2025-03-25T00:00:00.000","2027-03-25T00:00:00.000"
"DocTree LLC","","OCM-PT3B-25-000019","Adult-Use Processor Type Three-Branding","Active","Rami Taha","","","","NY","","","","","Minority-Owned Business","Active","2025-03-25T00:00:00.000","2027-03-25T00:00:00.000"
"MASC LC CONSULTANTS INC","","OCM-PT3B-25-000020","Adult-Use Processor Type Three-Branding","Active","CHEN ZHONG CHEN","","","","NY","","","","","","Active","2025-03-25T00:00:00.000","2027-03-25T00:00:00.000"
"MBW Technical Solutions LLC","","OCM-PT3B-25-000021","Adult-Use Processor Type Three-Branding","Active","Matthew Wynter","","","","NY","","","","","Minority-Owned Business","Active","2025-03-25T00:00:00.000","2027-03-25T00:00:00.000"
"The Budcracker LLC","","OCM-PT3B-25-000022","Adult-Use Processor Type Three-Branding","Active","Jeffrey Cooke","","","","NY","","","","","Minority-Owned Business","Active","2025-03-25T00:00:00.000","2027-03-25T00:00:00.000"
"LIN'S CULTIVATION INC","","OCM-PT3B-25-000023","Adult-Use Processor Type Three-Branding","Active","JING LIN","","","","NY","","","","","","Active","2025-03-25T00:00:00.000","2027-03-25T00:00:00.000"
"Stoneworth Contracts LLC","","OCM-PT3B-25-000024","Adult-Use Processor Type Three-Branding","Active","Adis Kolenovic","","","","NY","","","","","","Active","2025-03-25T00:00:00.000","2027-03-25T00:00:00.000"
"Bezos Buds, LLC","","OCM-PT3B-25-000025","Adult-Use Processor Type Three-Branding","Active","Elinore Neeves","","","","NY","","","","","Women-Owned Business","Active","2025-03-25T00:00:00.000","2027-03-25T00:00:00.000"
"GOOD ROOTS NY LLC","","OCM-PT3B-25-000026","Adult-Use Processor Type Three-Branding","Surrendered","Ryan Wieder","","","","NY","","","","","","","2025-03-25T00:00:00.000","2027-03-25T00:00:00.000"
"High Seal LLC","","OCM-PT3B-25-000027","Adult-Use Processor Type Three-Branding","Active","Gevork Avakov","","","","NY","","","","","","Active","2025-03-25T00:00:00.000","2027-03-25T00:00:00.000"
"Healthy Living By Design, Inc.","","OCM-PT3B-25-000028","Adult-Use Processor Type Three-Branding","Active","Nane' Cheung","","","","NY","","","","","Women-Owned Business, Minority-Owned Business","Active","2025-03-25T00:00:00.000","2027-03-25T00:00:00.000"
"Kerry Kaur","","OCM-PT3B-25-000029","Adult-Use Processor Type Three-Branding","Active","Kerry Kaur","","","","NY","","","","","Minority-Owned Business, Women-Owned Business","Active","2025-03-25T00:00:00.000","2027-03-25T00:00:00.000"
"Yerba LLC","","OCM-PT3B-25-000030","Adult-Use Processor Type Three-Branding","Active","Kevin Cahuas","","","","NY","","","","","Minority-Owned Business","Active","2025-03-25T00:00:00.000","2027-03-25T00:00:00.000"
"Reliable Telecommunication, INC","","OCM-PT3B-25-000031","Adult-Use Processor Type Three-Branding","Active","Nasir Ghesani","","","","NY","","","","","","Active","2025-03-25T00:00:00.000","2027-03-25T00:00:00.000"
"S.T.A. Exotics Enterprises LLC","","OCM-PT3B-25-000032","Adult-Use Processor Type Three-Branding","Active","John Morrongiello","","","","NY","","","","","","Active","2025-03-25T00:00:00.000","2027-03-25T00:00:00.000"
"Gummies For The People LLC","","OCM-PT3B-25-000033","Adult-Use Processor Type Three-Branding","Active","Robert Giuffo","","","","NY","","","","","","Active","2025-03-25T00:00:00.000","2027-03-25T00:00:00.000"
"Doe boyz llc","","OCM-PT3B-25-000034","Adult-Use Processor Type Three-Branding","Active","Stephano Iazbeck","","","","NY","","","","","","Active","2025-03-25T00:00:00.000","2027-03-25T00:00:00.000"
"Christopher Bell","","OCM-PT3B-25-000035","Adult-Use Processor Type Three-Branding","Active","Christopher Bell","","","","NY","","","","","Minority-Owned Business","Active","2025-03-25T00:00:00.000","2027-03-25T00:00:00.000"
"Kitty Creme LLC","","OCM-PT3B-25-000036","Adult-Use Processor Type Three-Branding","Active","Megan Ngo","","","","NY","","","","","","Active","2025-03-25T00:00:00.000","2027-03-25T00:00:00.000"
"Munchies NY LLC","","OCM-PT3B-25-000037","Adult-Use Processor Type Three-Branding","Active","Arvin Lal","","","","NY","","","","","","Active","2025-03-25T00:00:00.000","2027-03-25T00:00:00.000"
"Absurd Exotics, Inc.","","OCM-PT3B-25-000038","Adult-Use Processor Type Three-Branding","Active","Marianna Lo","","","","NY","","","","","Women-Owned Business, Minority-Owned Business","Active","2025-03-25T00:00:00.000","2027-03-25T00:00:00.000"
"Mend NY LLC","","OCM-PT3B-25-000039","Adult-Use Processor Type Three-Branding","Active","Benjamin Uris","","","","NY","","","","","Women-Owned Business","Active","2025-03-25T00:00:00.000","2027-03-25T00:00:00.000"
"Minute Particulars LLC","","OCM-PT3B-25-000040","Adult-Use Processor Type Three-Branding","Active","Alexis Myre","","","","NY","","","","","Women-Owned Business","Active","2025-03-26T00:00:00.000","2027-03-26T00:00:00.000"
"Water Brands, LLC","","OCM-PT3B-25-000041","Adult-Use Processor Type Three-Branding","Active","Steven Cruise","","","","NY","","","","","","Active","2025-03-31T00:00:00.000","2027-03-31T00:00:00.000"
"SeedToFire LLC","","OCM-PT3B-25-000042","Adult-Use Processor Type Three-Branding","Active","Marc Summerson","","","","NY","","","","","","Active","2025-04-04T00:00:00.000","2027-04-04T00:00:00.000"
"HOLM GROWN LLC","","OCM-PT3B-25-000043","Adult-Use Processor Type Three-Branding","Active","Eduardo Vargas","","","","NY","","","","","","Active","2025-04-04T00:00:00.000","2027-04-04T00:00:00.000"
"5Boro Legacy Corp","","OCM-PT3B-25-000044","Adult-Use Processor Type Three-Branding","Active","Timothy Auyeung","","","","NY","","","","","Minority-Owned Business","Active","2025-04-07T00:00:00.000","2027-04-07T00:00:00.000"
"KHP Development LLC","","OCM-PT3B-25-000045","Adult-Use Processor Type Three-Branding","Active","Vishal Patel","","","","NY","","","","","Minority-Owned Business","Active","2025-04-09T00:00:00.000","2027-04-09T00:00:00.000"
"Double or Nothing, LLC","","OCM-PT3B-25-000046","Adult-Use Processor Type Three-Branding","Active","Charles Bieler","","","","NY","","","","","","Active","2025-04-09T00:00:00.000","2027-04-09T00:00:00.000"
"Astro Packaging Printing Corporation","","OCM-PT3B-25-000047","Adult-Use Processor Type Three-Branding","Active","Andrew Malakassis","","","","NY","","","","","","Active","2025-04-25T00:00:00.000","2027-04-25T00:00:00.000"
"Zareba Associates Inc","","OCM-PT3B-25-000048","Adult-Use Processor Type Three-Branding","Active","Marianne Cursetjee","","","","NY","","","","","Women-Owned Business","Active","2025-04-25T00:00:00.000","2027-04-25T00:00:00.000"
"SkyLyfe LLC","","OCM-PT3B-25-000049","Adult-Use Processor Type Three-Branding","Active","Vincent Borish","","","","NY","","","","","Minority-Owned Business","Active","2025-04-25T00:00:00.000","2027-04-25T00:00:00.000"
"BudRunners LLC","","OCM-PT3B-25-000050","Adult-Use Processor Type Three-Branding","Active","Connor MacKenzie","","","","NY","","","","","","Active","2025-04-25T00:00:00.000","2027-04-25T00:00:00.000"
"Fullmeltnyc LLC","","OCM-PT3B-25-000051","Adult-Use Processor Type Three-Branding","Active","Colter Shelly","","","","NY","","","","","","Active","2025-04-25T00:00:00.000","2027-04-25T00:00:00.000"
