name,dba,license_number,license_type,license_status,contact_name,phone,address,city,state,zip,county,region,business_purpose,see_category,operational_status,issued_date,expiration_date
"PharmaCann of New York, LLC.","Verilife","MM0107D","Adult-Use Registered Organization Dispensary License","Active","","","5841 Bridge Street","East Syracuse","NY","13057","Onondaga","Central NY","Medical and Adult-Use Retail Sales","","Active","",""
"PharmaCann of New York, LLC.","Verilife","MM0108D","Adult-Use Registered Organization Dispensary License","Active","","","2 Wade Road","Latham","NY","12110","Albany","Capital Region","Medical and Adult-Use Retail Sales","","Active","",""
"Etain, LLC.","Fluent","MM0403D","Adult-Use Registered Organization Dispensary License","Active","","","445 State Route 28","Kingston","NY","12401","Ulster","Mid-Hudson","Medical and Adult-Use Retail Sales","","Active","",""
"Etain, LLC.","Fluent","MM0407D","Adult-Use Registered Organization Dispensary License","Active","","","242 East 58th St.","New York","NY","10022","New York","NYC","Medical and Adult-Use Retail Sales","","Active","",""
"Etain, LLC","Fluent","MM0408D","Adult-Use Registered Organization Dispensary License","Active","","","75 Mamaroneck Avenue","White Plains","NY","10601","Westchester","Mid-Hudson","Medical and Adult-Use Retail Sales","","Active","",""
"NYCANNA, LLC","The Botanist","MM0603D","Adult-Use Registered Organization Dispensary License","Active","","","2365 Broadhollow Rd.","Farmingdale","NY","11737","Suffolk","Long Island","Medical and Adult-Use Retail Sales","","Active","",""
"Fiorello Pharmaceuticals, Inc.","Rise","MM0704D","Adult-Use Registered Organization Dispensary License","Active","","","556 Jefferson Road","Rochester","NY","14623","Monroe","Finger Lakes","Medical and Adult-Use Retail Sales","","Active","",""
"Fiorello Pharmaceuticals, Inc.","Rise","MM0705D","Adult-Use Registered Organization Dispensary License","Active","","","1675 US-9","Clifton Park","NY","12065","Saratoga","Capital Region","Medical and Adult-Use Retail Sales","","Active","",""
"Fiorello Pharmaceuticals, Inc.","Rise","MM0706D","Adult-Use Registered Organization Dispensary License","Active","","","6701 Manlius Center Road","East Syracuse","NY","13057","Onondaga","Central NY","Medical and Adult-Use Retail Sales","","Active","",""
"Citiva Medical, LLC","Be.","MM0903D","Adult-Use Registered Organization Dispensary License","Active","","","338 New Dorp Lane","Staten Island","NY","10306","Richmond","NYC","Medical and Adult-Use Retail Sales","","Active","",""
"Citiva Medical, LLC","Be.","MM0906D","Adult-Use Registered Organization Dispensary License","Active","","","204-206 Flatbush Ave","Brooklyn","NY","11217","Kings","NYC","Medical and Adult-Use Retail Sales","","Active","",""
"Curaleaf NY, LLC","","MM1002D","Adult-Use Registered Organization Dispensary License","Active","","","8 North Plank Rd.","Newburgh","NY","12550","Orange","Mid-Hudson","Medical and Adult-Use Retail Sales","","Active","",""
"Curaleaf NY, LLC","","MM1003D","Adult-Use Registered Organization Dispensary License","Active","","","345 Cornelia St","Plattsburgh","NY","12901","Clinton","North Country","Medical and Adult-Use Retail Sales","","Active","",""
"Curaleaf NY, LLC","","MM1004D","Adult-Use Registered Organization Dispensary License","Active","","","107-18 70th Rd.","Forest Hills","NY","11375","Queens","NYC","Medical and Adult-Use Retail Sales","","Active","",""
