name,dba,license_number,license_type,license_status,contact_name,phone,address,city,state,zip,county,region,business_purpose,see_category,operational_status,issued_date,expiration_date
"AB CANN LLC","","OCM-RETL-24-000001","Adult-Use Retail Dispensary License","Active","Sumira Bhasin","","111 Cabot St","West Babylon","NY","11704","Suffolk","Long Island","Adult-Use Retail Sales","Minority-Owned Business, Women-Owned Business","Non-Operational","2024-02-22T00:00:00.000","2028-02-22T00:00:00.000"
"H&O CITY HEART INC","H&O CITY HEART","OCM-RETL-24-000002","Adult-Use Retail Dispensary License","Active","HALIM ALDHALA","","362 WEST 125TH STREET","New York","NY","10027","New York","Manhattan","Adult-Use Retail Sales","","Non-Operational","2024-02-22T00:00:00.000","2026-02-22T00:00:00.000"
"Rosedale Cannabis Dispensary LLC","","OCM-RETL-24-000003","Adult-Use Retail Dispensary License","Active","Elena Eshaghpour","","90-67 Sutphin Blvd.","Jamaica","NY","11435","Queens","Queens","Adult-Use Retail Sales","Women-Owned Business","Active","2024-02-22T00:00:00.000","2028-02-22T00:00:00.000"
"Down To Earth Canna Inc","","OCM-RETL-24-000004","Adult-Use Retail Dispensary License","Active","Sanjay Bakshi","","24815 Union Tpke","Jamaica","NY","11426","Queens","Queens","Adult-Use Retail Sales","Minority-Owned Business","Active","2024-02-28T00:00:00.000","2028-02-28T00:00:00.000"
"NY Rochester Group, LLC","Mango Cannabis","OCM-RETL-24-000005","Adult-Use Retail Dispensary License","Active","Joseph Pattah","","3553 West Henrietta Road","Henrietta","NY","14623","Monroe","Finger Lakes","Adult-Use Retail Sales","Minority-Owned Business","Active","2024-02-28T00:00:00.000","2028-02-28T00:00:00.000"
"HUDSON ECONOMICS LLC","","OCM-RETL-24-000006","Adult-Use Retail Dispensary License","Active","Cindy Abbott","","1981 86th St","Brooklyn","NY","11214","Kings","Brooklyn","Adult-Use Retail Sales","Women-Owned Business","Active","2024-02-28T00:00:00.000","2026-02-28T00:00:00.000"
"Cloud 9 Evolution LLC","","OCM-RETL-24-000007","Adult-Use Retail Dispensary License","Active","Aman Kaur","","1610 Eastern Pkwy","Schenectady","NY","12309","Schenectady","Capital District","Adult-Use Retail Sales","Minority-Owned Business, Women-Owned Business","Active","2024-02-28T00:00:00.000","2028-02-28T00:00:00.000"
"My Bud 420 Inc.","","OCM-RETL-24-000008","Adult-Use Retail Dispensary License","Active","Yaser Shohatee","","1798 E Tremont Ave","Bronx","NY","10460","Bronx","Bronx","Adult-Use Retail Sales","Service-Disabled Veteran-Owned Business","Active","2024-03-04T00:00:00.000","2028-03-04T00:00:00.000"
"Geneva Naturals LLC","Dryden Dispensary","OCM-RETL-24-000009","Adult-Use Retail Dispensary License","Active","Geneva Tiggle","","2207 Dryden Rd","Dryden","NY","13053","Tompkins","Southern Tier","Adult-Use Retail Sales","Women-Owned Business, Minority-Owned Business","Active","2024-03-04T00:00:00.000","2026-03-04T00:00:00.000"
"Khaar Wellness LLC","Leaf Plug","OCM-RETL-24-000010","Adult-Use Retail Dispensary License","Active","Himanshu Rajpal","","3341 Sheridan Dr","Amherst","NY","14226","Erie","Western NY","Adult-Use Retail Sales","Minority-Owned Business","Active","2024-03-04T00:00:00.000","2028-03-04T00:00:00.000"
