name,dba,license_number,license_type,license_status,contact_name,phone,address,city,state,zip,county,region,business_purpose,see_category,operational_status,issued_date,expiration_date
"Royal Leaf NY LLC","","OCM-CAURD-23-000015","Conditional Adult-Use Retail Dispensary License","Amendment Under Review","","","525 West 23rd St","New York","NY","10011","","","Adult-Use Retail Sales","","","",""
"No Volume Records LLC","","OCM-CAURD-24-000107","Conditional Adult-Use Retail Dispensary License","Amendment Under Review","","","404 Troy-Schenectady Rd","Latham","NY","12110","","","Adult-Use Retail Sales","","","",""
"1482 MOON ROCKS CORP","","","Conditional Adult-Use Retail Dispensary License","In-Process","JORGE RAMIREZ","","1482 Westchester Ave","Bronx","NY","10472","Bronx","","Adult-Use Retail Sales","","Non-Operational","",""
"37th St. SRJS Corp.","","","Conditional Adult-Use Retail Dispensary License","In-Process","Bijal Patel","","8 Joyce Rd., Ste 4","New Rochelle","NY","10801","Westchester","","Adult-Use Retail Sales","","Non-Operational","",""
"4 JAYS, LLC","","","Conditional Adult-Use Retail Dispensary License","In-Process","Richard Burton","","2500 South Rd","Poughkeepsie","NY","12601","New York","Mid-Hudson","Adult-Use Retail Sales","","Non-Operational","",""
"All County Exotics LLC","","","Conditional Adult-Use Retail Dispensary License","In-Process","Paul Abreu","","1117 Manhattan Ave","Brooklyn","NY","11222","Kings","Manhattan","Adult-Use Retail Sales","","Non-Operational","",""
"Aprii LLC","","","Conditional Adult-Use Retail Dispensary License","In-Process","Autumn Sachs","","883 8th Ave","New York","NY","10019","New York","","Adult-Use Retail Sales","","Non-Operational","",""
"Ayleet Productions LLC","","","Conditional Adult-Use Retail Dispensary License","In-Process","Nieka Burnett","","1013 Manhattan Ave","Brooklyn","NY","11222","Kings","","Adult-Use Retail Sales","","Non-Operational","",""
"Banana Kelly Community Improvement Association Inc","","","Conditional Adult-Use Retail Dispensary License","In-Process","Hope Burgess","","1283 Westchester Ave","Bronx","NY","10459","Bronx","","Adult-Use Retail Sales","","Non-Operational","",""
"OET INC.","","","Conditional Adult-Use Retail Dispensary License","In-Process","Armeen Hodge","","224 N Genesee St","Utica","NY","13502","Oneida","","Adult-Use Retail Sales","","Non-Operational","",""
"Best Sala","","","Conditional Adult-Use Retail Dispensary License","In-Process","Raman Singh","","8102 37th Ave","Jackson Heights","NY","11372","New York","","Adult-Use Retail Sales","","Non-Operational","",""
"BIG APPLE EXOTICS LLC","","","Conditional Adult-Use Retail Dispensary License","In-Process","ANTHONY VALENTIN","","854 7th Ave","New York","NY","10019","Queens","Manhattan","Adult-Use Retail Sales","","Non-Operational","",""
"Big Dipper NY LLC","","","Conditional Adult-Use Retail Dispensary License","In-Process","Eric Velasquez","","51 Richmond Hill Rd # C","Staten Island","NY","10314","Richmond","","Adult-Use Retail Sales","","Non-Operational","",""
"Bloom Dispensary LLC","","","Conditional Adult-Use Retail Dispensary License","In-Process","Jacquelyn Evenhouse","","716 Bloomingrove Drive","Rensselaer","NY","12144","Rensselaer","Capital Region","Adult-Use Retail Sales","","Non-Operational","",""
"Bzar Royale, Inc","","","Conditional Adult-Use Retail Dispensary License","In-Process","Royale Bazaar","","68 Jay St","Brooklyn","NY","11201","Kings","","Adult-Use Retail Sales","","Non-Operational","",""
"C drywall inc","","","Conditional Adult-Use Retail Dispensary License","In-Process","Rodney Crump","","7119 5th Ave","Brooklyn","NY","11209","Bronx","","Adult-Use Retail Sales","","Non-Operational","",""
"C drywall inc","","","Conditional Adult-Use Retail Dispensary License","In-Process","Rodney Crump","","436 West 238th Street","Bronx","NY","10463","Bronx","","Adult-Use Retail Sales","","Non-Operational","",""
"Cannabis Kingdom Inc.","","","Conditional Adult-Use Retail Dispensary License","In-Process","Muhammad Junaid","","8415 18th Avenue","Brooklyn","NY","11214","Kings","","Adult-Use Retail Sales","","Non-Operational","",""
"The Magi Tree LLC","","","Conditional Adult-Use Retail Dispensary License","In-Process","Maurice Stringer","","1260 Gerling St","Schenectady","NY","12308","Schenectady","","Adult-Use Retail Sales","","Non-Operational","",""
"CannaBlisss LLC","","","Conditional Adult-Use Retail Dispensary License","In-Process","Julia Livingston","","20 E Post Rd","White Plains","NY","10601","Westchester","","Adult-Use Retail Sales","","Non-Operational","",""
