name,dba,license_number,license_type,license_status,contact_name,phone,address,city,state,zip,county,region,business_purpose,see_category,operational_status,issued_date,expiration_date
"PharmaCann of New York, LLC.","Verilife","MM0106D","Registered Organization","Active","","","25-27 West Fordham Rd","Bronx","NY","10468","Bronx","NYC","Medical Sales","","Active","",""
"PharmaCann of New York, LLC.","Verilife","MM0109D","Registered Organization","Active","","","3760 Union Road","Cheektowaga","NY","14225","Erie","Western NY","Medical Sales","","Active","",""
"Vireo Health of NY, LLC.","","MM0202D","Registered Organization","Active","","","589 Harry L Drive","Johnson City","NY","13790","Broome","Southern Tier","Medical Sales","","Active","",""
"Vireo Health of NY, LLC.","","MM0203D","Registered Organization","Active","","","38 Fuller Road","Albany","NY","12205","Albany","Capital Region","Medical Sales","","Active","",""
"Vireo Health of NY, LLC.","","MM0204D","Registered Organization","Active","","","221-223 E. Post Road.","White Plains","NY","10601","Westchester","Mid-Hudson","Medical Sales","","Active","",""
"Vireo Health of NY, LLC.","","MM0205D","Registered Organization","Active","","","89-55 Queens Boulevard","Elmhurst","NY","11373","Queens","NYC","Medical Sales","","Active","",""
"Columbia Care NY, LLC.","","MM0305D","Registered Organization","Active","","","200 West Ridge Rd.","Rochester","NY","14615","Monroe","Finger Lakes","Medical Sales","","Non-Operational","",""
"Columbia Care NY, LLC.","Cannabist","MM0306D","Registered Organization","Active","","","44 Court Street","Brooklyn","NY","11201","Kings","NYC","Medical Sales","","Active","",""
"Etain, LLC.","Fluent","MM0405D","Registered Organization","Active","","","2140 Erie Boulevard","East Syracuse","NY","13224","Onondaga","Central NY","Medical Sales","","Active","",""
"Fiorello Pharmaceuticals, Inc.","Rise","MM0702D","Registered Organization","Active","","","2E 30th Street","New York","NY","10016","New York","NYC","Medical Sales","","Active","",""
"Fiorello Pharmaceuticals, Inc.","Rise","MM0703D","Registered Organization","Active","","","309 W Park Ave","Long Beach","NY","11561","Nassau","Long Island","Medical Sales","","Active","",""
"Valley Agriceuticals, LLC","Sunnyside","MM0802D","Registered Organization","Amendment Under Review","","","178 North 4th Street","Brooklyn","NY","11211","Kings","NYC","Medical Sales","","Non-Operational","",""
"Valley Agriceuticals, LLC","Sunnyside","MM0803D","Registered Organization","Active","","","277 Walt Whitman Road","Huntington Station","NY","11746","Suffolk","Long Island","Medical Sales","","Active","",""
"Valley Agriceuticals, LLC","Sunnyside","MM0804D","Registered Organization","Active","","","345 Route 304","Bardonia","NY","10956","Rockland","Mid-Hudson","Medical Sales","","Active","",""
"Valley Agriceuticals, LLC","Sunnyside","MM0805D","Registered Organization","Active","","","4776 Commercial Drive","New Hartford","NY","13413","Oneida","Mohawk Valley","Medical Sales","","Active","",""
"Citiva Medical, LLC","Be.","MM0904D","Registered Organization","Active","","","1147 Route 9","Wappingers Falls","NY","12590","Dutchess","Mid-Hudson","Medical Sales","","Active","",""
"Citiva Medical, LLC","Be.","MM0905D","Registered Organization","Active","","","700 W Buffalo St","Ithaca","NY","14850","Tompkins","Southern Tier","Medical Sales","","Non-Operational","",""
"Curaleaf NY, LLC","","MM1005D","Registered Organization","Active","","","255 Glen Cove Rd.","Carle Place","NY","11514","Nassau","Long Island","Medical Sales","","Active","",""
"Curaleaf NY, LLC","","MM1006D","Registered Organization","Active","","","532 Chili Ave","Rochester","NY","14611","Monroe","Finger Lakes","Medical Sales","","Active","",""
"Curaleaf NY, LLC","","MM1007D","Registered Organization","Active","","","4141 South Salina Street","Syracuse","NY","13205","Onondaga","Central NY","Medical Sales","","Active","",""
"Hudson Health Extracts","","","Registered Organization","In-Process","","","427 Broadway","New York","NY","10013","","","Medical Sales","","Non-Operational","",""
"Hudson Health Extracts","","","Registered Organization","In-Process","","","80 Main St","Nyack","NY","10960","","","Medical Sales","","Non-Operational","",""
"Hudson Health Extracts","","","Registered Organization","In-Process","","","355 Main St","Catskill","NY","12414","","","Medical Sales","","Non-Operational","",""
"NYMG","","","Registered Organization","In-Process","","","46 N 6th St","Brooklyn","NY","11249","","","Medical Sales","","Non-Operational","",""
"Wave Holistic LLC","","","Registered Organization","In-Process","","","2099 Niagara Falls Blvd","Amherst","NY","14228","","","Medical Sales","","Non-Operational","",""
"Wave Holistic LLC","","","Registered Organization","In-Process","","","299 Jefferson Ave","Buffalo","NY","14204","","","Medical Sales","","Non-Operational","",""
"Ny State Of Mind Flower LLC","","","Registered Organization","In-Process","","","76 N Greenbush Rd","Troy","NY","12180","","","Medical Sales","","Non-Operational","",""
"Nonna Farms LLC","","","Registered Organization","In-Process","","","141 Broadway","Rensselaer","NY","12144","","","Medical Sales","","Non-Operational","",""
"NYMG","","","Registered Organization","In-Process","","","10-51 Beach 20th Street","Far Rockaway","NY","11691","","","Medical Sales","","Non-Operational","",""
"Nonna Farms LLC","","","Registered Organization","In-Process","","","1401 Military Rd","Niagara Falls","NY","14304","","","Medical Sales","","Non-Operational","",""
"Nonna Farms","","","Registered Organization","In-Process","","","1793 Fred Rd","Rotterdam","NY","12303","","","Medical Sales","","Non-Operational","",""
"Nonna Farms","","","Registered Organization","In-Process","","","873 Broadway","White Plains","NY","10603","","","Medical Sales","","Non-Operational","",""
"Green Express Med LLC","","","Registered Organization","In-Process","","","247 Dunning","Middletown","NY","10940","","","Medical Sales","","Non-Operational","",""
