Name,DBA,License Number,License Type,Status,Address,City,State,Zip,County,Phone,Website,Source
"Department of Cannabis Control","","","cultivation","active","","","CA","","","","https://aca-prod.accela.com/CALCANNABIS/Default.aspx","brave_search"
"Cultivation","","","cultivation","active","","","CA","","","","https://www.cannabis.ca.gov/licensees/cultivation/","brave_search"
"License types","","","cultivation","active","","","CA","","","","https://www.cannabis.ca.gov/applicants/license-types/","brave_search"
"California Marijuana Cultivation License","","","cultivation","active","","","CA","","","","https://californiacannabis.org/licensing/cultivation","brave_search"
"California Cannabis Portal","","","cultivation","active","","","CA","","","","https://www.cloverdale.net/373/California-Cannabis-Portal","brave_search"
"State Licensing","","","cultivation","active","","","CA","","","","https://sccocannabis.us/Home/ReadinessGuide/StateLicensing.aspx","brave_search"
"Large Marijuana Cultivator License","","","cultivation","active","","","CA","","","","https://www.criminallawyersandiego.com/california-marijuana-business-lawyer/laws-and-resources/large-cultivator-license/","brave_search"
"California Cannabis License Types: How to Apply","","","cultivation","active","","","CA","","","","https://canndelta.com/us/california/","brave_search"
"General Information","","","cultivation","active","","","CA","","","","https://cannabis.lacity.gov/licensing-compliance/licensing-information/general-information","brave_search"
"Cultivation: License types","","","cultivation","active","","","CA","","","","https://www.cannabis.ca.gov/applicants/license-types/cultivation-license-types/","brave_search"
"Cannabis 101","","","cultivation","active","","","CA","","","","https://dcba.lacounty.gov/cannabis-101/","brave_search"
"California Marijuana Licensing","","","cultivation","active","","","CA","","","","https://californiacannabis.org/licensing","brave_search"
"California Cannabis License","","","cultivation","active","","","CA","","","","https://mrcannabislaw.com/california/","brave_search"
"Commercial Cannabis Ordinance and Licensing","","","cultivation","active","","","CA","","","","https://www.smcgov.org/planning/commercial-cannabis-ordinance-and-licensing","brave_search"
"Current Cannabis Application & License Charges in California","","","cultivation","active","","","CA","","","","https://manzurilaw.com/current-cannabis-application-license-fees-in-california/","brave_search"
"Accela Citizen Access","","","cultivation","active","","","CA","","","","https://aca-prod.accela.com/CALCANNABIS/Default.aspx","brave_search"
"Cannabis Division FAQs","","","cultivation","active","","","CA","","","","https://www.mendocinocounty.gov/departments/cannabis-department/cannabis-cultivation-faq","brave_search"
"Obtaining a California Cannabis Indoor Cultivation License Overview","","","cultivation","active","","","CA","","","","https://www.sevenleavesca.com/obtaining-a-california-cannabis-indoor-cultivation-license-overview","brave_search"
"California Marijuana Manufacturing License","","","cultivation","active","","","CA","","","","https://californiacannabis.org/licensing/manufacturing","brave_search"
"Types of Cultivation Licenses and Cost Ranges for Each","","","cultivation","active","","","CA","","","","https://www.begreenlegal.com/types-of-cultivation-licenses-and-cost-ranges-for-each/","brave_search"
"California Cannabis Regulations and Application Process","","","cultivation","active","","","CA","","","","https://www.criminallawyersandiego.com/california-marijuana-business-lawyer/laws-and-resources/regulations/","brave_search"
"State Cannabis License","","","cultivation","active","","","CA","","","","https://www.srcity.org/3918/State-Cannabis-License","brave_search"
"2021 Personal Marijuana Cultivation Permit Application","","","cultivation","active","","","CA","","","","https://clearlake.ca.us/338/Personal-Marijuana-Cultivation-Permit-Ap","brave_search"
"Cannabis Unified License Search","","","cultivation","active","","","CA","","","","https://search.cannabis.ca.gov/","brave_search"
"Redirecting to Department of Cannabis Control","","","cultivation","active","","","CA","","","","https://calcannabis.cdfa.ca.gov/","brave_search"
"California Medical Marijuana License Types","","","cultivation","active","","","CA","","","","https://www.criminallawyersandiego.com/california-marijuana-business-lawyer/medical-marijuana/license-types/","brave_search"
"Cannabis Licensing & Regulations","","","cultivation","active","","","CA","","","","https://humboldtgov.org/2676/Cannabis","brave_search"
"Testing laboratories","","","cultivation","active","","","CA","","","","https://www.cannabis.ca.gov/licensees/testing-laboratories/","brave_search"
"California Cannabis Testing Labs: Reliable Testing Laboratory for Cannabis","","","cultivation","active","","","CA","","","","https://californiacannabistestinglabs.com/","brave_search"
"Cannalysis","","","cultivation","active","","","CA","","","","https://www.cannalysislabs.com/","brave_search"
"Lab Testing Requirements for California Cannabis Labs","","","cultivation","active","","","CA","","","","https://www.lighthouselabservices.com/analytical-lab-testing-requirements-for-cannabis-labs-in-california/","brave_search"
"California Cannabis Testing Labs","","","cultivation","active","","","CA","","","","https://californiacannabis.org/testing-lab","brave_search"
"The Premier Cannabis Testing Lab","","","cultivation","active","","","CA","","","","https://encorelabs.com/","brave_search"
"California Cannabis Compliance Testing","","","cultivation","active","","","CA","","","","https://www.sclabs.com/cannabis/california-cannabis-compliance-testing/","brave_search"
"California Cannabis Testing Labs: Licensed Cannabis Testing Laboratory","","","cultivation","active","","","CA","","","","https://cctestinglabs.com/","brave_search"
"About","","","cultivation","active","","","CA","","","","https://californiacannabistestinglabs.com/about/","brave_search"
"California Ag Labs","","","cultivation","active","","","CA","","","","https://www.calaglabs.com/","brave_search"
"Testing laboratory: License types","","","cultivation","active","","","CA","","","","https://www.cannabis.ca.gov/applicants/license-types/testing-laboratory-license-types/","brave_search"
