name,dba,license_number,license_type,license_status,address,city,state,zip,county,phone,source
"Green Gold Cultivators, Inc.",Green Gold Cultivators,C10-0000375-LIC,Commercial - Retailer,active,,,CA,,Calaveras,,ca_dcc_playwright
"Boutique Cultivators, A Ca Commercial Cannabis Association",Remedy Room,C10-0000686-LIC,Commercial - Retailer,active,,,CA,,Riverside,,ca_dcc_playwright
"California Cultivators Club, Inc.",MMJSDT,C11-0000101-LIC,Commercial - Distributor,surrendered,,,CA,,San Bernardino,,ca_dcc_playwright
"California Cultivators Club, Inc","California Cultivators Club, Inc",C11-0001014-LIC,Commercial - Distributor,surrendered,,,CA,,San Bernardino,,ca_dcc_playwright
Cae Mgmt,RB26,C12-0000001-LIC,Commercial - Microbusiness,expired,,,CA,,Mendocino,,ca_dcc_playwright
"Tahoe Wellness Center, Inc. [Equity Retailer]",Data Not Available,C12-0000002-LIC,Commercial - Microbusiness,active,,,CA,,El Dorado,,ca_dcc_playwright
"All Done Management Group, Inc.",Packs South Los Angeles,C12-0000003-LIC,Commercial - Microbusiness,active,,,CA,,Los Angeles,,ca_dcc_playwright
Jahnetics Delivery,JAHnetics Microbusiness,C12-0000004-LIC,Commercial - Microbusiness,expired,,,CA,,San Francisco,,ca_dcc_playwright
"Dose Of Wellness, Inc.","DOSE OF WELLNESS, INC.",C12-0000005-LIC,Commercial - Microbusiness,expired,,,CA,,Los Angeles,,ca_dcc_playwright
Jn Stock Inc.,Data Not Available,C12-0000006-LIC,Commercial - Microbusiness,surrendered,,,CA,,Riverside,,ca_dcc_playwright
"Greenleaf Processors, Inc.","GREENLEAF PROCESSORS, INC.",C11-0000425-LIC,Commercial - Distributor,active,,,CA,,Colusa,,ca_dcc_playwright
301 Processors LLC,Data Not Available,C11-0001762-LIC,Commercial - Distributor,expired,,,CA,,Santa Barbara,,ca_dcc_playwright
Sacramento Confidential Delivery Inc.,GreenWerx Delivers,C12-0000044-LIC,Commercial - Microbusiness,active,,,CA,,Sacramento,,ca_dcc_playwright
Humboldt Trim Company LLC [Equity Retailer],Humboldt Nation [Equity Retailer],C12-0000486-LIC,Commercial - Microbusiness,active,,,CA,,Humboldt,,ca_dcc_playwright
Ice Truck LLC,Ice Truck Labs,C12-0000580-LIC,Commercial - Microbusiness,active,,,CA,,Humboldt,,ca_dcc_playwright
Green Synergy Farms LLC,Green Synergy Farms,C12-0000582-LIC,Commercial - Microbusiness,active,,,CA,,Nevada,,ca_dcc_playwright
Canopy Distribution LLC,Canopy Distribution LLC,C12-0000583-LIC,Commercial - Microbusiness,expired,,,CA,,Humboldt,,ca_dcc_playwright
Ca Flower Inc.,CA Flower Inc.,C12-0000587-LIC,Commercial - Microbusiness,active,,,CA,,Santa Cruz,,ca_dcc_playwright
Cali Creamery LLC,Cali Creamery,C12-0000607-LIC,Commercial - Microbusiness,active,,,CA,,Nevada,,ca_dcc_playwright
Green Sweep Operations,Green Sweep Operations,C12-0000610-LIC,Commercial - Microbusiness,active,,,CA,,Mendocino,,ca_dcc_playwright
Bud Technology,Data Not Available,C11-0000001-LIC,Commercial - Distributor,active,,,CA,,Kern,,ca_dcc_playwright
Redwood Remedies,REDWOOD REMEDIES,C11-0000002-LIC,Commercial - Distributor,surrendered,,,CA,,Mendocino,,ca_dcc_playwright
"Clearlake Growth Fund Iii, Inc.",Data Not Available,C11-0000003-LIC,Commercial - Distributor,expired,,,CA,,Lake,,ca_dcc_playwright
Llxp,Data Not Available,C11-0000004-LIC,Commercial - Distributor,expired,,,CA,,San Benito,,ca_dcc_playwright
"T.J. Rock, Inc","T.J. ROCK, INC",C11-0000005-LIC,Commercial - Distributor,expired,,,CA,,Sacramento,,ca_dcc_playwright
Purple Star Md Collective,Data Not Available,C11-0000006-LIC,Commercial - Distributor,active,,,CA,,San Francisco,,ca_dcc_playwright
Emerald City Distribution,EMERALD CITY DISTRIBUTION,C11-0000007-LIC,Commercial - Distributor,revoked,,,CA,,Mendocino,,ca_dcc_playwright
Monterey County Patients Group Incorporated,Cannabis Feels Good,C11-0000008-LIC,Commercial - Distributor,expired,,,CA,,Solano,,ca_dcc_playwright
